"关键词","近一天整体指数","近一天PC指数","近一天移动指数","7天均指数","7天PC均指数","7天移动均指数","30天均指数","30天PC均指数","30天移动均指数","7天整体同比","7天整体环比","7天PC同比","7天PC环比","7天移动同比","7天移动环比","30天整体同比","30天整体环比","30天PC同比","30天PC环比","30天移动同比","30天移动环比"
"王牌逗王牌","8184","2213","5971","7148","2022","5126","10889","3503","7386","-","-16%↓","-","-23%↓","-","-12%↓","-","-60%↓","-","-62%↓","-","-60%↓"
"我是哪吒","440","193","247","420","185","235","438","193","245","-","8%↑","-","2%↑","-","13%↑","-","-38%↓","-","-27%↓","-","-45%↓"
"萤火奇兵","0","0","0","75","58","17","78","58","20","-","-32%↓","-","-14%↓","-","-60%↓","-","6%↑","-","9%↑","-","-"
"终结者2","1610","710","900","1520","641","879","1627","730","897","-15%↓","-6%↓","-27%↓","-11%↓","-3%↓","-2%↓","-23%↓","-7%↓","-29%↓","-9%↓","-17%↓","-5%↓"
"新东方神娃","406","101","305","337","95","242","352","110","242","-","10%↑","-","-5%↓","-","19%↑","-","-41%↓","-","-48%↓","-","-36%↓"
"清枫传奇","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"幽灵医院","702","195","507","664","196","468","1069","398","671","-","-12%↓","-","-18%↓","-","-10%↓","-","57%↑","-","118%↑","-","34%↑"
"暗杀游戏","2303","969","1334","2252","977","1275","2270","1017","1253","1714%↑","-37%↓","1307%↑","-39%↓","2230%↑","-35%↓","1671%↑","20%↑","1361%↑","19%↑","2039%↑","20%↑"
"热血雷锋侠之激情营救","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"有迹可循","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"育婴室","2720","928","1792","1722","566","1156","1130","370","760","-","105%↑","-","103%↑","-","106%↑","-","-58%↓","-","-41%↓","-","-63%↓"
"笑林足球","842","225","617","806","255","551","781","274","507","-","13%↑","-","1%↑","-","19%↑","-","-44%↓","-","-45%↓","-","-43%↓"
"谁的青春不热血之深流不息","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"三个孬家伙","564","238","326","644","281","363","1262","532","730","-","-40%↓","-","-32%↓","-","-45%↓","-","45%↑","-","28%↑","-","61%↑"
"新木偶奇遇记","178","89","89","155","79","76","219","115","104","-","-8%↓","-","-8%↓","-","-8%↓","5478%↑","95%↑","-","46%↑","2544%↑","208%↑"
"那年我对你的承诺","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"诡眼","61","0","61","93","28","65","116","56","60","437%↑","-30%↓","229%↑","-57%↓","645%↑","-4%↓","279%↑","-14%↓","589%↑","-15%↓","167%↑","-13%↓"
"勇士之门","1501","639","862","1423","630","793","4499","1705","2794","736%↑","-8%↓","608%↑","-11%↓","876%↑","-6%↓","2680%↑","29%↑","1843%↑","4%↑","3670%↑","51%↑"
"夜闯寡妇村","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"夺路而逃","2019","727","1292","2153","791","1362","5233","1925","3308","956%↑","-28%↓","509%↑","-26%↓","1737%↑","-29%↓","3460%↑","142%↑","2142%↑","162%↑","5309%↑","131%↑"
"奇妙的朋友之萌爱2016","149","66","83","121","50","71","136","64","72","-","-9%↓","-","-23%↓","-","3%↑","-","-3%↓","-","5%↑","-","-10%↓"
"你的名字","220186","69760","150426","209710","74419","135291","344213","98593","245620","14934%↑","-60%↓","10892%↑","-55%↓","18746%↑","-62%↓","76997%↑","458%↑","45209%↑","374%↑","107220%↑","501%↑"
